size,size,n.尺码；号
slow,slow,adj.慢的
smile,smile,v.微笑
smile,smile,n.微笑
so,so,adv.那么（尤指用于引出新话题）；这么；那么（用于强调质量、感觉或数量）
something,something,pron.某事物；某种东西
somewhere,somewhere,adv.某处；某个地方
soon,soon,adv.立刻；不久
sound,sound,n.声音
space,space,n.太空；空间
square,square,n.广场
start,start,n.开始；开端
stop,stop,n.车站
store,store,n.商店
strange,strange,adj.奇怪的
strawberry,strawberry,n.草莓
street,street,n.街道
strict,strict,adj.严格的；严厉的
successful,successful,adj.成功的
supermarket,supermarket,n.超市
sure,sure,adj.确信的；有把握的
swim (swam),swim (swam),v.游泳
take (took),take (took),v.搭乘；乘坐；固定使用；把（某人）带往；使（某人）到
take,take,v.穿（某尺寸的衣服或鞋子）
tape,tape,n.录音带；录像带
taxi,taxi,n.出租车
teach (taught),teach (taught),v.教；讲授
team,team,n.队伍；球队
tennis,tennis,n.网球
term,term,n.学期
then,then,adv.那么；就
third,third,num.第三
thousand,thousand,num.千
through,through,prep.穿过
tidy,tidy,v.收拾；整理
tidy,tidy,adj.整齐的；整洁的；爱整齐的；爱整洁的
till,till,conj.直到……为止
together,together,adv.一起；共同
top,top,n.顶端
touch,touch,v.触摸；接触
tour,tour,n.（短期的）参观；游览；旅行
tourist,tourist,n.游客
towards,towards,prep.往；向；朝……方向
town,town,n.城镇；市镇
traffic,traffic,n.交通
TRUE,TRUE,adj.真的；真实的
try,try,v.尝试；试穿；品尝
turn,turn,v.换方向
underground,underground,n.地铁
up,up,prep.沿着……而去
upon,upon,prep.在……上；到……上
US,US,美国
village,village,n.村庄
violin,violin,n.小提琴
visitor,visitor,n.游客；观光者
voice,voice,n.声音
walk,walk,n.步行；走
wallet,wallet,n.钱包
waltz,waltz,n.华尔兹舞（曲）
watch,watch,n.表；（通常指）手表
wave,wave,v.挥（手）；招（手）；摆（手）
way,way,n.方式；道路
well,well,int.噢；喔
Western,Western,adj.西方的
what,what,int.什么（表示惊奇）
whose,whose,pron.谁的
